Simulated Date,Simulated Day,Hour of Day,Solar Declination Angle,Solar Elevation Angle (degrees),Sunlight Intensity (W/m^2)
2023-01-01 00:00:00,0,0,-23.011636727869238,-75.23673672786924,-0.9669869757673368
2023-01-01 01:00:00,0,1,-23.011636727869238,-70.42387160172389,-0.9421971329058215
2023-01-01 02:00:00,0,2,-23.011636727869238,-60.40255918487152,-0.8695169911451359
2023-01-01 03:00:00,0,3,-23.011636727869238,-48.92931035719343,-0.7538995820366572
2023-01-01 04:00:00,0,4,-23.011636727869238,-37.101153217260666,-0.6032240409443258
2023-01-01 05:00:00,0,5,-23.011636727869238,-25.325402756936086,-0.42775865699047955
2023-01-01 06:00:00,0,6,-23.011636727869238,-13.854736602567808,-0.23946110612131513
2023-01-01 07:00:00,0,7,-23.011636727869238,-2.932736239633276,-0.051163555252150855
2023-01-01 08:00:00,0,8,-23.011636727869238,7.140439068065384,0.1243018287016957
2023-01-01 09:00:00,0,9,-23.011636727869238,15.960665555312909,0.2749773697940269
2023-01-01 10:00:00,0,10,-23.011636727869238,22.9915133415363,0.39059477890250566
2023-01-01 11:00:00,0,11,-23.011636727869238,27.598634894116692,0.46327492066319126
2023-01-01 12:00:00,0,12,-23.011636727869238,29.213463272130763,0.48806476352470646
2023-01-01 13:00:00,0,13,-23.011636727869238,27.598634894116692,0.46327492066319126
2023-01-01 14:00:00,0,14,-23.011636727869238,22.9915133415363,0.39059477890250566
2023-01-01 15:00:00,0,15,-23.011636727869238,15.960665555312909,0.2749773697940269
2023-01-01 16:00:00,0,16,-23.011636727869238,7.140439068065384,0.1243018287016957
2023-01-01 17:00:00,0,17,-23.011636727869238,-2.932736239633276,-0.051163555252150855
2023-01-01 18:00:00,0,18,-23.011636727869238,-13.854736602567808,-0.23946110612131513
2023-01-01 19:00:00,0,19,-23.011636727869238,-25.325402756936086,-0.42775865699047955
2023-01-01 20:00:00,0,20,-23.011636727869238,-37.101153217260666,-0.6032240409443258
2023-01-01 21:00:00,0,21,-23.011636727869238,-48.92931035719343,-0.7538995820366572
2023-01-01 22:00:00,0,22,-23.011636727869238,-60.40255918487152,-0.8695169911451359
2023-01-01 23:00:00,0,23,-23.011636727869238,-70.42387160172389,-0.9421971329058215
2023-01-02 00:00:00,1,0,-22.93054360830765,-75.15564360830767,-0.9666253417148796
2023-01-02 01:00:00,1,1,-22.93054360830765,-70.35958887879585,-0.9418206221094814
2023-01-02 02:00:00,1,2,-22.93054360830765,-60.35385828596469,-0.8690968639426581
2023-01-02 03:00:00,1,3,-22.93054360830765,-48.88663855854467,-0.7534100711517855
2023-01-02 04:00:00,1,4,-22.93054360830765,-37.05950353574241,-0.6026441074840972
2023-01-02 05:00:00,1,5,-22.93054360830765,-25.281975149355905,-0.42707342421101113
2023-01-02 06:00:00,1,6,-22.93054360830765,-13.80763549747885,-0.23866287325331503
2023-01-02 07:00:00,1,7,-22.93054360830765,-2.8804591821163057,-0.0502523222956191
2023-01-02 08:00:00,1,8,-22.93054360830765,7.199141091601374,0.12531836097746718
2023-01-02 09:00:00,1,9,-22.93054360830765,16.026643250173258,0.27608432464515537
2023-01-02 10:00:00,1,10,-22.93054360830765,23.064748474557298,0.391771117436028
2023-01-02 11:00:00,1,11,-22.93054360830765,27.677536165081236,0.4644948756028514
2023-01-02 12:00:00,1,12,-22.93054360830765,29.294556391692353,0.4892995952082494
2023-01-02 13:00:00,1,13,-22.93054360830765,27.677536165081236,0.4644948756028514
2023-01-02 14:00:00,1,14,-22.93054360830765,23.064748474557298,0.391771117436028
2023-01-02 15:00:00,1,15,-22.93054360830765,16.026643250173258,0.27608432464515537
2023-01-02 16:00:00,1,16,-22.93054360830765,7.199141091601374,0.12531836097746718
2023-01-02 17:00:00,1,17,-22.93054360830765,-2.8804591821163057,-0.0502523222956191
2023-01-02 18:00:00,1,18,-22.93054360830765,-13.80763549747885,-0.23866287325331503
2023-01-02 19:00:00,1,19,-22.93054360830765,-25.281975149355905,-0.42707342421101113
2023-01-02 20:00:00,1,20,-22.93054360830765,-37.05950353574241,-0.6026441074840972
2023-01-02 21:00:00,1,21,-22.93054360830765,-48.88663855854467,-0.7534100711517855
2023-01-02 22:00:00,1,22,-22.93054360830765,-60.35385828596469,-0.8690968639426581
2023-01-02 23:00:00,1,23,-22.93054360830765,-70.35958887879585,-0.9418206221094814
2023-01-03 00:00:00,2,0,-22.84265567379326,-75.06775567379329,-0.9662312197647303
2023-01-03 01:00:00,2,1,-22.84265567379326,-70.28978539169522,-0.9414104329980862
2023-01-03 02:00:00,2,2,-22.84265567379326,-60.300931376886666,-0.8686395682980113
2023-01-03 03:00:00,2,3,-22.84265567379326,-48.840284000552664,-0.7528778398342753
2023-01-03 04:00:00,2,4,-22.84265567379326,-37.0142920047141,-0.6020142180963807
2023-01-03 05:00:00,2,5,-22.84265567379326,-25.234865091577753,-0.42632980959184236
2023-01-03 06:00:00,2,6,-22.84265567379326,-13.756566678051849,-0.23779721642803142
2023-01-03 07:00:00,2,7,-22.84265567379326,-2.8237980065322583,-0.04926462326422065
2023-01-03 08:00:00,2,8,-22.84265567379326,7.2627539787831585,0.12641978524031802
2023-01-03 09:00:00,2,9,-22.84265567379326,16.098136643483606,0.2772834069782125
2023-01-03 10:00:00,2,10,-22.84265567379326,23.144109815829633,0.3930451354419484
2023-01-03 11:00:00,2,11,-22.84265567379326,27.763044967212767,0.4658160001420233
2023-01-03 12:00:00,2,12,-22.84265567379326,29.382444326206752,0.49063678690866747
2023-01-03 13:00:00,2,13,-22.84265567379326,27.763044967212767,0.4658160001420233
2023-01-03 14:00:00,2,14,-22.84265567379326,23.144109815829633,0.3930451354419484
2023-01-03 15:00:00,2,15,-22.84265567379326,16.098136643483606,0.2772834069782125
2023-01-03 16:00:00,2,16,-22.84265567379326,7.2627539787831585,0.12641978524031802
2023-01-03 17:00:00,2,17,-22.84265567379326,-2.8237980065322583,-0.04926462326422065
2023-01-03 18:00:00,2,18,-22.84265567379326,-13.756566678051849,-0.23779721642803142
2023-01-03 19:00:00,2,19,-22.84265567379326,-25.234865091577753,-0.42632980959184236
2023-01-03 20:00:00,2,20,-22.84265567379326,-37.0142920047141,-0.6020142180963807
2023-01-03 21:00:00,2,21,-22.84265567379326,-48.840284000552664,-0.7528778398342753
2023-01-03 22:00:00,2,22,-22.84265567379326,-60.300931376886666,-0.8686395682980113
2023-01-03 23:00:00,2,23,-22.84265567379326,-70.28978539169522,-0.9414104329980862
2023-01-04 00:00:00,3,0,-22.747998967417843,-74.97309896741785,-0.9658042012870616
2023-01-04 01:00:00,3,1,-22.747998967417843,-70.21445109925737,-0.9409661752549134
2023-01-04 02:00:00,3,2,-22.747998967417843,-60.24376005344998,-0.8681447675857816
2023-01-04 03:00:00,3,3,-22.747998967417843,-48.790235023345815,-0.7523026368692513
2023-01-04 04:00:00,3,4,-22.747998967417843,-36.965514919618215,-0.6013342328754807
2023-01-04 05:00:00,3,5,-22.747998967417843,-25.18407618342458,-0.4255278028495628
2023-01-04 06:00:00,3,6,-22.747998967417843,-13.701540301835601,-0.2368642644639003
2023-01-04 07:00:00,3,7,-22.747998967417843,-2.7627686734849846,-0.048200726078238006
2023-01-04 08:00:00,3,8,-22.747998967417843,7.331256919289276,0.12760570394768028
2023-01-04 09:00:00,3,9,-22.747998967417843,16.175121439137225,0.2785741079414505
2023-01-04 10:00:00,3,10,-22.747998967417843,23.22957133722533,0.394416238657981
2023-01-04 11:00:00,3,11,-22.747998967417843,27.855135066848373,0.4672376463271129
2023-01-04 12:00:00,3,12,-22.747998967417843,29.47710103258216,0.4920756723592608
2023-01-04 13:00:00,3,13,-22.747998967417843,27.855135066848373,0.4672376463271129
2023-01-04 14:00:00,3,14,-22.747998967417843,23.22957133722533,0.394416238657981
2023-01-04 15:00:00,3,15,-22.747998967417843,16.175121439137225,0.2785741079414505
2023-01-04 16:00:00,3,16,-22.747998967417843,7.331256919289276,0.12760570394768028
2023-01-04 17:00:00,3,17,-22.747998967417843,-2.7627686734849846,-0.048200726078238006
2023-01-04 18:00:00,3,18,-22.747998967417843,-13.701540301835601,-0.2368642644639003
2023-01-04 19:00:00,3,19,-22.747998967417843,-25.18407618342458,-0.4255278028495628
2023-01-04 20:00:00,3,20,-22.747998967417843,-36.965514919618215,-0.6013342328754807
2023-01-04 21:00:00,3,21,-22.747998967417843,-48.790235023345815,-0.7523026368692513
2023-01-04 22:00:00,3,22,-22.747998967417843,-60.24376005344998,-0.8681447675857816
2023-01-04 23:00:00,3,23,-22.747998967417843,-70.21445109925737,-0.9409661752549134
2023-01-05 00:00:00,4,0,-22.646601538006347,-74.87170153800636,-0.9653438496018695
2023-01-05 01:00:00,4,1,-22.646601538006347,-70.13357598304107,-0.9404874318621218
2023-01-05 02:00:00,4,2,-22.646601538006347,-60.182325038317266,-0.8676121024346702
2023-01-05 03:00:00,4,3,-22.646601538006347,-48.736479382480205,-0.7516841945878192
2023-01-05 04:00:00,4,4,-22.646601538006347,-36.91316848031901,-0.6006040036614059
2023-01-05 05:00:00,4,5,-22.646601538006347,-25.129612418397887,-0.42466739499524503
2023-01-05 06:00:00,4,6,-22.646601538006347,-13.642567377932984,-0.2358641577209423
2023-01-05 07:00:00,4,7,-22.646601538006347,-2.697388411703089,-0.047060920446639766
2023-01-05 08:00:00,4,8,-22.646601538006347,7.404627478649576,0.12887568821952125
2023-01-05 09:00:00,4,9,-22.646601538006347,16.25757145645325,0.27995587914593445
2023-01-05 10:00:00,4,10,-22.646601538006347,23.321104996909185,0.3958837869927855
2023-01-05 11:00:00,4,11,-22.646601538006347,27.953778206347472,0.46875911642023704
2023-01-05 12:00:00,4,12,-22.646601538006347,29.57849846199366,0.49361553415998477
2023-01-05 13:00:00,4,13,-22.646601538006347,27.953778206347472,0.46875911642023704
2023-01-05 14:00:00,4,14,-22.646601538006347,23.321104996909185,0.3958837869927855
2023-01-05 15:00:00,4,15,-22.646601538006347,16.25757145645325,0.27995587914593445
