Simulated Date,Simulated Day,Hour of Day,Solar Declination Angle,Solar Elevation Angle (degrees),Sunlight Intensity (W/m^2),Concentration Factor,Intensity * Concentration factor (funnel),Absorbed Intensity by QPA,# of photons,Rate of exciton generation,Final_Exciton_Rate_After_CMC,Excitonic Energy,Usable Electric Energy
2023-01-01 00:00:00,0,0,-23.02102420154593,-82.75435820154594,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:00:00,0,1,-23.02102420154593,-74.78084413304073,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:00:00,0,2,-23.02102420154593,-62.31525269987461,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:00:00,0,3,-23.02102420154593,-49.39301616360162,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:00:00,0,4,-23.02102420154593,-36.48138313043605,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:00:00,0,5,-23.02102420154593,-23.756177916842628,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:00:00,0,6,-23.02102420154593,-11.367927195437352,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:00:00,0,7,-23.02102420154593,0.4943671098857029,0.0086282267209002,100,0.8628226720900245,0.1167703507102744,4.112002219857379e+17,4.112002219857379e+17,1.6587037935904326e+17,0.00039889706080660937,0.00039889706080660937
2023-01-01 08:00:00,0,8,-23.02102420154593,11.557099755735464,0.2003444073796116,100,20.03444073796117,2.7113667117591067,9.547925367856116e+18,9.547925367856116e+18,3.851452207905317e+18,0.009262250267391072,0.009262250267391072
2023-01-01 09:00:00,0,9,-23.02102420154593,21.40603333632997,0.3649748239665363,100,36.49748239665364,4.939397117574406,1.7393809120790774e+19,1.7393809120790774e+19,7.016333073537154e+18,0.016873384214163397,0.016873384214163397
2023-01-01 10:00:00,0,10,-23.02102420154593,29.42607488075159,0.4913001856559029,100,49.13001856559029,6.649024977994203,2.34141674689632e+19,2.34141674689632e+19,9.444831575474682e+18,0.022713612700644634,0.022713612700644634
2023-01-01 11:00:00,0,11,-23.02102420154593,34.79986464522945,0.5707116278111115,100,57.07116278111115,7.723741979624506,2.7198722940058e+19,2.7198722940058e+19,1.0971449554094377e+19,0.026384933806914975,0.026384933806914975
2023-01-01 12:00:00,0,12,-23.02102420154593,36.71230979845407,0.5977973918828979,100,59.7797391882898,8.090307934858036,2.84895643329937e+19,2.84895643329937e+19,1.1492150517008806e+19,0.027637153066727094,0.027637153066727094
2023-01-01 13:00:00,0,13,-23.02102420154593,34.79986464522945,0.5707116278111115,100,57.07116278111115,7.723741979624506,2.7198722940058e+19,2.7198722940058e+19,1.0971449554094377e+19,0.026384933806914975,0.026384933806914975
2023-01-01 14:00:00,0,14,-23.02102420154593,29.42607488075159,0.4913001856559029,100,49.13001856559029,6.649024977994203,2.34141674689632e+19,2.34141674689632e+19,9.444831575474682e+18,0.022713612700644634,0.022713612700644634
2023-01-01 15:00:00,0,15,-23.02102420154593,21.40603333632997,0.3649748239665363,100,36.49748239665364,4.939397117574406,1.7393809120790774e+19,1.7393809120790774e+19,7.016333073537154e+18,0.016873384214163397,0.016873384214163397
2023-01-01 16:00:00,0,16,-23.02102420154593,11.557099755735464,0.2003444073796116,100,20.03444073796117,2.7113667117591067,9.547925367856116e+18,9.547925367856116e+18,3.851452207905317e+18,0.009262250267391072,0.009262250267391072
2023-01-01 17:00:00,0,17,-23.02102420154593,0.4943671098857029,0.0086282267209002,100,0.8628226720900245,0.1167703507102744,4.112002219857379e+17,4.112002219857379e+17,1.6587037935904326e+17,0.00039889706080660937,0.00039889706080660937
2023-01-01 18:00:00,0,18,-23.02102420154593,-11.367927195437352,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 19:00:00,0,19,-23.02102420154593,-23.756177916842628,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 20:00:00,0,20,-23.02102420154593,-36.48138313043605,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 21:00:00,0,21,-23.02102420154593,-49.39301616360162,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 22:00:00,0,22,-23.02102420154593,-62.31525269987461,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 23:00:00,0,23,-23.02102420154593,-74.78084413304073,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 00:00:00,1,0,-22.94166747442449,-82.67500147442452,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 01:00:00,1,1,-22.94166747442449,-74.73909207014677,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 02:00:00,1,2,-22.94166747442449,-62.285890725147866,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 03:00:00,1,3,-22.94166747442449,-49.36552040968567,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 04:00:00,1,4,-22.94166747442449,-36.4522321530324,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 05:00:00,1,5,-22.94166747442449,-23.723516988934087,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 06:00:00,1,6,-22.94166747442449,-11.330369555517342,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 07:00:00,1,7,-22.94166747442449,0.5381181251324588,0.0093917949742547,100,0.9391794974254714,0.1271041232940957,4.475900208907741e+17,4.475900208907741e+17,1.805493348324355e+17,0.00043419807245602914,0.00043419807245602914
2023-01-02 08:00:00,1,8,-22.94166747442449,11.60834659266905,0.2012206191490795,100,20.12206191490796,2.723224948558726,9.58968348174978e+18,9.58968348174978e+18,3.868296639942371e+18,0.009302758973384884,0.009302758973384884
2023-01-02 09:00:00,1,9,-22.94166747442449,21.46592141602787,0.3659477649161906,100,36.594776491619065,4.952564441473802,1.744017711127343e+19,1.744017711127343e+19,7.035037042456074e+18,0.01691836486867209,0.01691836486867209
2023-01-02 10:00:00,1,10,-22.94166747442449,29.494983158167763,0.492347349516039,100,49.23473495160391,6.6631967997548704,2.346407274216382e+19,2.346407274216382e+19,9.464962417228194e+18,0.022762024801937637,0.022762024801937637
2023-01-02 11:00:00,1,11,-22.94166747442449,34.876221482248496,0.5718054501433353,100,57.180545014333525,7.738545255138709,2.7250851842134e+19,2.7250851842134e+19,1.0992477365609558e+19,0.026435503005834117,0.026435503005834117
2023-01-02 12:00:00,1,12,-22.94166747442449,36.7916665255755,0.5989071285510489,100,59.89071285510489,8.10532658748826,2.8542451673469346e+19,2.8542451673469346e+19,1.1513484268205783e+19,0.027688458011475747,0.027688458011475747
2023-01-02 13:00:00,1,13,-22.94166747442449,34.876221482248496,0.5718054501433353,100,57.180545014333525,7.738545255138709,2.7250851842134e+19,2.7250851842134e+19,1.0992477365609558e+19,0.026435503005834117,0.026435503005834117
2023-01-02 14:00:00,1,14,-22.94166747442449,29.494983158167763,0.492347349516039,100,49.23473495160391,6.6631967997548704,2.346407274216382e+19,2.346407274216382e+19,9.464962417228194e+18,0.022762024801937637,0.022762024801937637
2023-01-02 15:00:00,1,15,-22.94166747442449,21.46592141602787,0.3659477649161906,100,36.594776491619065,4.952564441473802,1.744017711127343e+19,1.744017711127343e+19,7.035037042456074e+18,0.01691836486867209,0.01691836486867209
2023-01-02 16:00:00,1,16,-22.94166747442449,11.60834659266905,0.2012206191490795,100,20.12206191490796,2.723224948558726,9.58968348174978e+18,9.58968348174978e+18,3.868296639942371e+18,0.009302758973384884,0.009302758973384884
2023-01-02 17:00:00,1,17,-22.94166747442449,0.5381181251324588,0.0093917949742547,100,0.9391794974254714,0.1271041232940957,4.475900208907741e+17,4.475900208907741e+17,1.805493348324355e+17,0.00043419807245602914,0.00043419807245602914
2023-01-02 18:00:00,1,18,-22.94166747442449,-11.330369555517342,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 19:00:00,1,19,-22.94166747442449,-23.723516988934087,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 20:00:00,1,20,-22.94166747442449,-36.4522321530324,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 21:00:00,1,21,-22.94166747442449,-49.36552040968567,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 22:00:00,1,22,-22.94166747442449,-62.285890725147866,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 23:00:00,1,23,-22.94166747442449,-74.73909207014677,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 00:00:00,2,0,-22.85551263610865,-82.5888466361087,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 01:00:00,2,1,-22.85551263610865,-74.6934344263007,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 02:00:00,2,2,-22.85551263610865,-62.253809218781214,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 03:00:00,2,3,-22.85551263610865,-49.33554170508337,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 04:00:00,2,4,-22.85551263610865,-36.42050446909524,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 05:00:00,2,5,-22.85551263610865,-23.6880127471706,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 06:00:00,2,6,-22.85551263610865,-11.28957518786531,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 07:00:00,2,7,-22.85551263610865,0.5856162651631565,0.010220754022141,100,1.0220754022141092,0.1383228640478213,4.870961854288797e+17,4.870961854288797e+17,1.964853731626474e+17,0.00047252220769576934,0.00047252220769576934
2023-01-03 08:00:00,2,8,-22.85551263610865,11.663968593967,0.2021714547111083,100,20.217145471110832,2.7360931085685865,9.634997983422652e+18,9.634997983422652e+18,3.886575651433775e+18,0.009346717659598464,0.009346717659598464
2023-01-03 09:00:00,2,9,-22.85551263610865,21.53091874595228,0.3670032582135576,100,36.70032582135576,4.966848989909153,1.7490479345118351e+19,1.7490479345118351e+19,7.055328010613076e+18,0.01696716205349813,0.01696716205349813
2023-01-03 10:00:00,2,10,-22.85551263610865,29.56977714884865,0.4934831495182319,100,49.34831495182319,6.678568181254561,2.351820219751317e+19,2.351820219751317e+19,9.486797214033353e+18,0.022814534697330316,0.022814534697330316
2023-01-03 11:00:00,2,11,-22.85551263610865,34.95911300386686,0.5729917330506206,100,57.299173305062055,7.754599848464331,2.730738718949941e+19,2.730738718949941e+19,1.101528265367436e+19,0.026490346808658045,0.026490346808658045
2023-01-03 12:00:00,2,12,-22.85551263610865,36.87782136389136,0.6001106302371384,100,60.01106302371384,8.121614211644527,2.8599807625797472e+19,2.8599807625797472e+19,1.1536620572766183e+19,0.02774409786666106,0.02774409786666106
2023-01-03 13:00:00,2,13,-22.85551263610865,34.95911300386686,0.5729917330506206,100,57.299173305062055,7.754599848464331,2.730738718949941e+19,2.730738718949941e+19,1.101528265367436e+19,0.026490346808658045,0.026490346808658045
2023-01-03 14:00:00,2,14,-22.85551263610865,29.56977714884865,0.4934831495182319,100,49.34831495182319,6.678568181254561,2.351820219751317e+19,2.351820219751317e+19,9.486797214033353e+18,0.022814534697330316,0.022814534697330316
